Date,cad,oil
2016-09-12,1.3081,10.64
2016-09-09,1.3014,10.59
2016-09-08,1.2893,10.96
2016-09-07,1.2903,10.52
2016-09-06,1.2842,10.39
2016-09-02,1.3019,10.24
2016-09-01,1.3091,10.06
2016-08-31,1.3121,10.36
2016-08-30,1.3084,10.73
2016-08-26,1.2886,10.95
2016-08-25,1.2932,10.95
2016-08-24,1.2945,10.82
2016-08-23,1.2862,11.09
2016-08-22,1.2919,10.97
2016-08-19,1.2875,11.34
2016-08-18,1.2779,11.3
2016-08-17,1.2862,10.99
2016-08-16,1.2884,10.92
2016-08-15,1.2911,10.76
2016-08-12,1.2944,10.5
2016-08-11,1.3022,10.21
2016-08-10,1.3048,9.77
2016-08-09,1.3118,10.07
2016-08-08,1.3169,10.1
2016-08-05,1.3179,9.86
2016-08-04,1.3039,9.84
2016-08-03,1.3094,9.69
2016-08-02,1.3066,9.33
2016-08-01,1.31,9.41
2016-07-29,1.3041,9.76
2016-07-28,1.3191,9.67
2016-07-27,1.3221,9.9
2016-07-26,1.3215,10.08
2016-07-25,1.3229,10.13
2016-07-22,1.3168,10.42
2016-07-21,1.3033,10.49
2016-07-20,1.3030000000000002,10.73
2016-07-19,1.3025,10.7
2016-07-18,1.3003,10.82
2016-07-15,1.2937,10.99
2016-07-14,1.2924,10.87
2016-07-13,1.2984,10.75
2016-07-12,1.3035,11.19
2016-07-11,1.3095,10.65
2016-07-08,1.3087,10.83
2016-07-07,1.2935,10.82
2016-07-06,1.3032,11.33
2016-07-05,1.2953,11.18
2016-07-01,1.2895,11.78
2016-06-30,1.2991,11.57
2016-06-29,1.2993,11.79
2016-06-28,1.3082,11.47
2016-06-27,1.3103,11.19
2016-06-24,1.2908,11.4
2016-06-23,1.276,11.98
2016-06-22,1.2818,11.74
2016-06-21,1.2817,11.89
2016-06-20,1.2796,11.91
2016-06-17,1.2873,11.66
2016-06-16,1.3034,11.14
2016-06-15,1.2908,11.47
2016-06-14,1.2854,11.73
2016-06-13,1.2759,11.76
2016-06-10,1.2733,11.87
